cod_accidente,descripcion_del_hecho - Final,responsabilidad
AM    ,"MECANICA DEL HECHO S/ VS ASEGURADO: 0 ASEGURADO CIRCULABA POR CALLE ALSINA AL 2500 CUANDO COLISIONA CON SU PARTE DELANTERA CON UNA MOTO QUE AL SOBREPASARLA POR 
LA IZQUIERDA Y UBICARSE DELANTE, FREN DE GOLPE POR EL TRANSITO.

 EN LA MOTO IBA UNA SOLA PERSONA, NO RECUERDA SI LLEVABA O NO CASCO, NI LA MOTO NI EL OCUPANTE CAEN AL PISO, EL CONDUCTOR NO PRESENTABA LESIONES VISIBLES, NO INTERVINO AMBULANCIA NI POLICIA
d 10/01 CORROBORO TODO CON LA ASGEURADA. SE TRATA DE UN TEMA MUY LEVE. LA RESPONSABILIDAD ES COMPROMETIDA, CHOCA EN LA PARTE TRASERA A LA TERCERA 
LA AGENDE POR WHATS APP Y QUEDO EN MANDAR REGISTRO 
NO FORMALIZO A\'d9N 
NO TIENE T.E. DE LA TERCERA

d0",COMPROMETIDA
OTROS ,"VH ASEGURADO POR CALLE EMPEDRADA, AL PIDAR VIA DEL TRANVIA PIERDE LA ESTABILIDAD DE LA MOTO Y CAE AL SUELO JUNTO CON UN TERCERO (AMIGA) QUE CIRCULABA DE ACOMPAnANTE EN LA MOTO. INTERVINO POLICIA QUE ESTABA EN LUGAR, PERO NO AMBULANCIA. ACOMPAnENTE CON LESION EN MUnECA DE MANO DERECHA Y BOCA POR GOLPE


 AMPLIACIN ASEGURADO

El estaba circulando por calle Guatemala, casi llegando a Araoz. Dicha calle es empedrada y tiene vias de tranvia. Quizo esquivar un pozo y pierde la estabilidad al pisar la via del tranvia. Por este motivo caen al piso y su transportada sufre lesiones en la muneca y en la boca. No sabe de que comisaria era la policia. No le realizaron test de alcoholemia. Es una amiga. El fue a la de congreso para presentar documentacion pero estaba cerrado. 
Llamo a la 3ra al cel asentado en la denuncia.

",COMPROMETIDA
AM    ,"ASEG CIRCULANDO POR MAIPU AL INGRESAR A GARAGE ES COLISIONADA EN LA PARTE LATERAL IZQUIERDA POR UNA MOTO QUE CIRCULABA POR DETRAS E INTENTABA SOBREPASARLA. MOTOCICLISTA Y ACOMPAnANTE CON CASCO CAEN AL PISO Y SE LEVANTAN SOLOS

10/01  FORMALIZO EN MORENO
LOS TERCEROS INTERCAMBIARON DATOS Y SE RETIRARON DEL LUGAR 
NO TENIAN PAPELES DE LA MOTO 
TAMPOCO TEN\'ccAN EL 08 FIRMADO 
LA POLICIA SOLO TOMO DATOS DE LOS TERCEORS, NO TRASLADARON A LA ASEGURADA. 
LOS TERCEROS MANIFESTARON NO TENER LESIONES PARA QUE NO LES RETUVIERAN LA MOTO 
LA AMBULANCIA TEN\'ccA DEMORA Y LOS TERCEROS NO QUISIERON ESPERAR 
TEN\'ccAN SOLO RASPONES 
 NO LE HICIERON ALCOHOLEMIA A NINGUNO 
d0",COMPROMETIDA
AM    ,"ASEGURADO ESTACIONADO SOBRE CALLE BOTICELLI AL DESCENDER FUE IMPACTADO EN PUERTA DELANTERA IZQUIERDA POR UN TERCERO (MOTO) QUE CIRCULABA POR LA MISMA. POR EL IMPACTO, LA MOTO SE DESPLAZA Y COLISIONA CONTRA OTRO TERCERO QUE CIRCULABA POR COLECTORA. EN LA MOTO 1 SOLA PERSONA CON CASCO. 
NO INTERVIENE POLICIA NI AMBULANCIA. AL TERCERO DE LA MOTO LO PASA A BUSCAR UN FAMILIAR PORQUE TENIA UN GOLPE EN LA PIERNA .
11/01 RATIFICO LA MECANICA
FORMALIZO EN MORON 
d NO TIENE MaS DATOS DEL TERCERO  0
",COMPROMETIDA
AM    ,"CIRCULANDO POR LA AV INDEPENDENCIA , AL LLEGAR A AV BOEDO CON EL GUInO COLOCADO PARA GIRAR A LA IZQUIERDA EN DICHA AVENIDA, DEJO PASAR UN AUTO DE COLOR PLATEADO, PERO CUANDO TERMINA DE PASAR ESE VEHICULO APARECE UNA MOTO Y SE TERMINA DANDO EL ROCE ENTRE MI PARTE DELANTERA IZQUIERDA Y ESA MOTO. EN DICHA MOTO VENIA UNICAMENTE EL CONDUCTOR, CON CASCO COLOCADO, CAE AL PISO , MANIFIESTA DOLORES, CONCURRE AMBULANCIA, LO REVISAN EN EL LUGAR, PERO NO LO TRASLADAN , CONCURRE UN POLICIA QUE ESTABA EN LA ZONA, QUE TOMA LOS DATOS, PERO NO HAY DENUNCIA NI SECUESTRO DE UNIDADES
",COMPROMETIDA
AM    ,"VH ASEGURADO ESTACIONADO EN CALLE ROJO, ASEGURADO ABRE LA PUERTA DEL CONDUCTOR Y ES COLISIONADO POR UN TERCERO EN MOTO (1 PERSONA CON CASCO). CAE AL PAVIMENTO, TERCERO SE RETIRA POR SUS PROPIOS MEDIOS.-

EL ASEGURADO CONFIRMO LA MECANICA DENUNCIADA. SE TRATA DE UN  TEMA ES MUY LEVE 
NO INTERVINO POLICIA NI AMBULANCIA 
QUEDO EN OBTENER MAYORES DATOS DEL TERCERO. NO TUVO CONTACTO DESPUES DEL HECHO PERO EL TERCERO TENA SEGURO Y LE DIO LOS DATOS DEL PRODUCTOR. Y SABE DONDE QUEDA LA OFICINA DEL PRODUCTOR DEL TERCERO CON LO CUAL VA A IR A PEDIR SUS DATOS AH 
d",COMPROMETIDA
AM    ,"ASEGURADA CIRCULANDO SOBRE AV  MAIPU (SENTIDO CAPITAL- MANO DERECHA) CUANDO AL INTENTAR ESTACIONAR COLISIONA A UN TERCERO CIRCULANDO (CON CASCO) CON SU PARTE TRASERA (PINCHANDO LA RUEDA TRASERA DERECHA). SIN DESP NI LES.
",COMPROMETIDA
AA    ,"CIRCULABA POR LA AVENIDA DEL LIBERTADOR CUANDO IMPACTO CON LA PARTE DELANTERA EN LA PARTE TRASERA DEL TERCERO QUE SE DETIENE  DELANTE DE MI. A RAIZ DEL IMPACTO UN OCUPANTE DEL OTRO VEHICULO MANIFESTABA SENTIR DOLOR CERVICAL, POR LO QUE INTERVIENE PERSONAL POLICIAL Y DE AMBULANCIA LOS CUALES TRASLADAN AL MISMO HASTA EL HOSPITAL DE MORENO. SIN LESIONES.-
",COMPROMETIDA
AA    ,"LUGAR DE OCURRENCIA, PASEO 110 Y AV 4. CIRCULANDO POR PASEO 110 CUANDO LLEGO AL CRUCE CON AV 4 SOY COLISIONADA POR UN AUTO QUE VENIA POR ESTA ULTIMA DAnANDO LA PARTE DELANTERA IZQUIERDA. CON EL IMPACTO MI SOBRINA Y LA ACOMPAnANTE EN EL VH DEL 3ERO RESULTAN CON DOLORES, SIN INTERVENCION DE AMBULANCIA NI DE LA POLICIA.- 1137569071",CONCURRENTE
AM    ,"CIRCULABA POR IRIGOIN SENTIDO OESTE ESTE CUANDO EL TERCERO QUE VENIA ADELANTE FREN DE GOLPE Y YO QUE VENIA ATRAS NO PUDE EVITAR LA COLISION Y S EPRODUCJO EL IMPACTO.
d MECANICA DEL HECHO S/ TERCERO: 0 El estaba circulando por IRIGOIN, cuando se detuvo. En ese momento siente el impacto leve en la parte trasera de su moto. Tuvo un golpe su esposa, Giselle. No tienen certificados medicos porque no se hicieron atender ya que se estaba dirigiendo a su domicilio porque sus hijos se encontraban sin compania de un adulto y querian llegar rapido a su casa. Los danos en la moto son en la parte trasera. Tiene Triunfo Seguros",COMPROMETIDA
